"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"3171000479","2025","3171025600","003","상발3리서희스타힐스경로당","1311-0","","","2","1","","2025-04-29 16:36:48.000","2025-04-29 16:36:48.000","","울산광역시 울주군 온양읍 보곡3길 40  (울산온양 서희스타힐스)","","","","","","129.2933196","35.4104368","","1000","1800","","","001"
"1132000204","2025","1132052100","003","럭키아파트경로당","595","174","100","8","3","N","2025-04-29 17:43:58.000","2025-07-17 15:29:30.000","","서울특별시 도봉구 도봉로169길 31 (럭키아파트)","N","","N","","","127.044269","37.679942","","0900","1800","","","001"
"3171000489","2025","3171025600","003","연안2리경로당","402-13","","","2","1","","2025-04-29 18:19:51.000","2025-05-21 13:47:45.000","","울산광역시 울주군 온양읍 연안3길 23","","","","","","129.284371","35.409369","","1000","1800","","","001"
"3171000490","2025","3171026200","003","신일해피트리경로당","696-1","","","","","","2025-04-29 18:43:33.000","2025-04-29 18:43:33.000","","울산광역시 울주군 청량읍 삼정로 811  (울산덕하 신일해피트리)","","","","","","129.3027467","35.4883846","","1000","1800","","","001"
"1132000205","2025","1132052100","003","가든아파트경로당","555","53","40","3","2","N","2025-04-29 21:01:40.000","2025-07-17 15:28:39.000","","서울특별시 도봉구 도봉산길 35 (서울가든아파트 노인정)","N","","N","","","127.041002","37.686986","","0900","1800","","","001"
"1132000206","2025","1132052100","003","도봉숲아뜨리움경로당","593-37","71.46","15","","","N","2025-04-29 21:04:12.000","2025-07-17 15:27:40.000","","서울특별시 도봉구 도봉로167길 38 (도봉숲 아뜨리움 105동)","N","","N","","","127.042173","37.678088","","0900","1800","","","001"
"3171000488","2025","3171025600","003","대안3리경로당","567-18","","","2","1","","2025-04-29 17:27:04.000","2025-04-29 17:27:04.000","","울산광역시 울주군 온양읍 대안1길 7  ","","","","","","129.2802581","35.4117383","","1000","1800","","","001"
"3171000487","2025","3171025600","003","솔밭경로당","245-3","","","2","1","","2025-04-29 17:22:27.000","2025-04-29 17:22:27.000","","울산광역시 울주군 온양읍 화산발리로 742-16  ","","","","","","129.2896995","35.4068531","","1000","1800","","","001"
"1132000207","2025","1132052200","003","삼환아파트경로당","87","106","50","2","2","N","2025-04-29 21:08:01.000","2025-07-17 15:56:17.000","","서울특별시 도봉구 도봉로180길 6-83 (삼환도봉아파트)","N","","N","","","127.049173","37.68083","","0900","1800","","","001"
"1132000208","2025","1132052200","003","유원아파트경로당","83","57","50","1","3","N","2025-04-29 21:12:10.000","2025-07-17 15:55:23.000","","서울특별시 도봉구 도봉로180길 50 (유원도봉아파트 1동)","N","","N","","","127.048399","37.68231","","0900","1800","","","001"
